time stamp,C3,CZ,C4,FCZ,FC3,CP4,CPZ,CP3,FC4
0.0,-10.798873,-5.789696,-4.718109,-2.243221,-2.9177022,-12.00854,-13.21699,-20.464685,0.29015788
0.0019992644083686173,-10.2802725,-5.733369,-4.8235116,-2.1319256,-2.8238661,-13.385418,-13.368324,-20.288216,0.7126166
0.003998528816737235,-9.544192,-5.5951757,-5.0175514,-1.9471498,-2.7659805,-14.673018,-13.317814,-19.659773,0.82043856
0.005997793166898191,-8.642336,-5.334345,-5.3205614,-1.6878583,-2.6979048,-15.714957,-13.012235,-18.603622,0.4996662
0.007997057575266808,-7.611278,-4.8983564,-5.698629,-1.3414416,-2.5559645,-16.362995,-12.396737,-17.145655,-0.2600658
0.009996321983635426,-6.477549,-4.247126,-6.0705595,-0.8965296,-2.2821212,-16.507467,-11.436254,-15.321511,-1.3474854
0.011995586392004043,-5.257506,-3.369989,-6.3304787,-0.3506685,-1.8399063,-16.096884,-10.129159,-13.17478,-2.5540104
0.013994850742165,-3.9529614,-2.2918231,-6.3773274,0.28627226,-1.2187768,-15.138655,-8.508152,-10.751303,-3.627005
0.015994115150533617,-2.549845,-1.0676178,-6.148565,0.9915633,-0.43121108,-13.688534,-6.630313,-8.088388,-4.3528237
0.017993379558902234,-1.0213495,0.2291466,-5.6337337,1.7331023,0.4931504,-11.829863,-4.5613823,-5.210321,-4.622606
0.01999264396727085,0.6593297,1.5225784,-4.875865,2.4723039,1.5144535,-9.651424,-2.3619323,-2.1325946,-4.4634576
0.021991908317431808,2.5007765,2.7499013,-3.9474995,3.1679552,2.5829906,-7.2272997,-0.07577035,1.125619,-4.0164094
0.023991172725800425,4.473186,3.8699267,-2.916108,3.7786636,3.6392531,-4.6094627,2.269727,4.525174,-3.4718356
0.025990437134169042,6.5004745,4.866154,-1.8182195,4.2657895,4.6204815,-1.8307657,4.6545653,7.98979,-2.993085
0.02798970154253766,8.464448,5.7444453,-0.6466362,4.600046,5.466921,1.0823095,7.054335,11.399828,-2.648598
0.029988965892698616,10.230816,6.525606,0.6458579,4.76867,6.136224,4.0922656,9.427689,14.604905,-2.3824058
0.03198823030106723,11.669437,7.230872,2.1104803,4.7778983,6.6109004,7.1321225,11.706665,17.43991,-2.053049
0.03398749470943585,12.686154,7.870075,3.7659953,4.6539373,6.90193,10.095066,13.795788,19.752974,-1.490771
0.03598675911780447,13.230583,8.427405,5.564565,4.434131,7.034614,12.835484,15.5777855,21.427706,-0.58141714
0.037986023467965424,13.2985525,8.856056,7.374809,4.1556106,7.0326953,15.186107,16.930676,22.400188,0.66262764
0.03998528787633404,12.919077,9.0815525,8.993548,3.8421226,6.8975854,16.98419,17.746565,22.663803,2.084842
0.04198455228470266,12.136966,9.017006,10.18881,3.4955847,6.5991955,18.106396,17.953564,22.262184,3.421519
0.043983816693071276,11.004847,8.588167,10.761937,3.099292,6.0834904,18.5002,17.536182,21.281668,4.381513
0.04598308104323223,9.581377,7.7600527,10.603501,2.6266904,5.295283,18.201204,16.544157,19.837984,4.7405696
0.04798234545160085,7.9404736,6.5587153,9.73355,2.0593007,4.2118874,17.332052,15.091854,18.065327,4.4225583
0.04998160985996947,6.175976,5.077348,8.316776,1.4011918,2.863833,16.080706,13.34206,16.104528,3.5357969
0.051980874268338084,4.4003158,3.461488,6.618603,0.68330073,1.3461968,14.65832,11.4750395,14.086802,2.3424282
